Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.3,18987104,869,21849.4,20992.0,18912,87072,3328.9,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x2_tn_align8>(T1::Params)
0.3,16707472,11025,1515.4,1472.0,832,33344,804.5,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.3,16643232,858,19397.7,16256.0,15424,30368,3698.7,"void vllm::topKPerRowDecode<(int)1024, (bool)1, (bool)0, (bool)1>(const float *, const int *, int *, int, int, int, int, int, float *, int, const int *)"
0.3,15954912,869,18360.1,16608.0,10656,38272,5662.4,"void flashinfer::mla::BatchMLAPagedAttentionKernel<flashinfer::mla::KernelTraits<(bool)0, (unsigned int)1, (bool)0, (unsigned int)512, (unsigned int)0, (unsigned int)64, (unsigned int)16, __nv_bfloat16, __nv_fp8_e4m3, __nv_bfloat16, int>, flashinfer::MLAParams<__nv_bfloat16, __nv_fp8_e4m3, __nv_bfloat16, int>>(T2)"
0.3,15555511,9137,1702.5,1248.0,992,22752,1600.7,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.2,14887776,234,63623.0,63072.0,60480,192992,8582.0,"void deep_gemm::sm120_fp8_fp4_gemm_1d1d_impl<(unsigned int)0, (unsigned int)4, (unsigned int)3072, (unsigned int)128, (unsigned int)128, (unsigned int)1, (unsigned int)128, (unsigned int)16, (unsigned int)64, (unsigned int)64, (unsigned int)64, (unsigned int)0, (unsigned int)10, (unsigned int)128, (unsigned int)256, (unsigned int)48, (deep_gemm::GemmType)0, (bool)0, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (unsigned int)128, (unsigned int)1>(T19 *, const T19 *, __nv_fp8_e4m3 *, __nv_fp8_e4m3 *, int *, CUtensorMap_st *, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
0.2,14865728,237,62724.6,22656.0,6528,542080,71629.0,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.2,12351900,2652,4657.6,3744.0,3328,35936,1635.0,_causal_conv1d_update_kernel
0.2,9787679,34,287872.9,279631.5,257056,421440,29855.5,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x1_tn_align8>(T1::Params)
0.1,8418399,3555,2368.0,2176.0,1920,13952,610.8,"void per_token_group_quant_8bit_packed_register_kernel<c10::BFloat16, c10::Float8_e4m3fn, (int)128, (int)16, (int)1>(const T1 *, void *, unsigned int *, int, int, int, int, int, long, float, float, float)"
0.1,7388378,6988,1057.3,800.0,608,10816,670.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.1,7244000,4898,1479.0,1600.0,800,20032,590.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.1,7158464,395,18122.7,17792.0,14176,130688,6224.7,"kernel_mha(unsigned int, unsigned int, unsigned int, const unsigned int *, unsigned int, float, const float *, Vec<__nv_bfloat16, (unsigned int)128> *, const Vec<__nv_bfloat16, (unsigned int)128> *, const unsigned int *, const float *, KVCacheList<(bool)1>, unsigned int, float, const float *, unsigned int, unsigned int, unsigned int, unsigned int *, void *)"
0.1,6779488,3318,2043.2,1984.0,1312,10304,340.9,triton_poi_fused_clamp_copy__mul_silu_slice_0
0.1,6205728,3318,1870.3,1728.0,1408,20992,861.2,"void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, int, (int)8, (bool)0>(T1 *, const T1 *, long, int, long, long, const T2 *, const int *, long, long)"
0.1,6151836,2686,2290.3,2240.0,2112,14912,474.6,layer_norm_gated_fwd_kernel
0.1,5849214,3239,1805.9,1792.0,1440,7776,311.3,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,4900800,1580,3101.8,2816.0,2624,9280,542.8,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,4439136,56,79270.3,85680.0,58048,97280,11569.6,nvjet_sm121_tst_mma_96x64x64_4_16x64x64_tmaAB_bz_TNNN
0.1,4415968,1580,2794.9,2720.0,2496,12320,395.5,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::BFloat16>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,3698624,858,4310.8,4672.0,2560,9408,991.6,_kpool_decode_update_batched_kernel
0.1,3385599,869,3896.0,3872.0,1664,18176,823.3,"void vllm::concat_and_cache_mla_kernel<__nv_bfloat16, unsigned char, (vllm::Fp8KVCacheDataType)1>(const T1 *, const T1 *, T2 *, const long *, int, int, int, int, int, int, int, const float *)"
0.1,3062016,869,3523.6,3488.0,3424,13216,406.5,_fwht_quant_kernel
0.0,2900248,790,3671.2,3456.0,1920,16000,1134.2,"void vllm::reshape_and_cache_flash_kernel<__nv_bfloat16, unsigned char, (vllm::Fp8KVCacheDataType)1>(const T1 *, const T1 *, T2 *, T2 *, const long *, long, long, long, long, long, int, int, int, const float *, const float *, int)"
